# Demand.ninja degree days (daily data 1980-2022)  -  demand_ninja_IN_Temp - Version 1.0
# License: https://creativecommons.org/licenses/by-nc/4.0/  -  Reference: https://doi.org/10.1038/s41560-023-01341-5
# Units: date in local timezone; other columns are the population-weighted surface temperature in degrees centigrade; column names signify country ISO2 code or GADM level1 code.  Calculated with global average model parameters

"date","IN","IN.AN","IN.AP","IN.AR","IN.AS","IN.BR","IN.CH","IN.CT","IN.DD","IN.DL","IN.DN","IN.GA","IN.GJ","IN.HP","IN.HR","IN.JH","IN.JK","IN.KA","IN.KL","IN.LD","IN.MH","IN.ML","IN.MN","IN.MP","IN.MZ","IN.NL","IN.OR","IN.PB","IN.PY","IN.RJ","IN.SK","IN.TG","IN.TN","IN.TR","IN.UP","IN.UT","IN.WB"
1980-01-01,18.004,26.017,22.046,8.897,15.04,17.81,10.094,21.14,22.069,12.593,21.63,24.641,19.082,3.06,12.772,19.209,-1.384,20.897,24.326,27.475,20.42,13.88,13.79,18.11,16.128,12.84,21.925,11.792,24.615,14.859,2.133,22.237,21.534,17.543,15.908,7.389,19.068
1980-01-02,17.881,26.466,22.217,8.979,14.992,17.992,10.446,21.511,20.911,13.367,20.378,24.378,18.009,2.614,12.771,17.744,-2.404,20.769,23.909,27.392,20.528,13.881,13.791,17.44,16.253,12.951,22.456,11.473,24.571,13.746,1.441,22.283,21.215,17.618,16.467,7.853,18.625
1980-01-03,17.319,26.9,22.277,8.397,14.621,17.985,9.992,20.2,19.713,11.968,18.609,24.098,16.709,1.763,11.517,17.997,-3.268,21.097,24.079,27.187,19.648,13.91,13.948,15.598,16.519,12.944,22.389,11.162,24.594,12.066,1.107,22.588,21.306,17.476,15.605,7.179,18.76
1980-01-04,16.903,27.036,22.299,8.618,14.531,16.969,10.742,19.104,21.245,11.366,21.066,23.586,16.962,2.279,11.202,17.667,-4.914,21.066,23.821,26.848,20.139,13.159,14.272,15.066,16.822,12.866,20.763,11.216,24.853,11.411,1.465,22.505,21.502,17.204,14.379,7.813,18.853
1980-01-05,16.469,27.496,22.328,8.429,14.421,15.833,9.932,18.561,22.435,10.446,22.579,24.381,17.8,2.781,10.456,16.817,-3.578,20.757,23.542,27.08,20.602,12.997,13.992,14.578,16.21,12.558,20.571,10.598,25.333,11.399,1.926,21.854,21.782,16.322,13.173,7.358,17.717
1980-01-06,16.227,27.509,22.563,8.599,14.539,13.989,9.819,18.397,22.712,10.44,22.882,25.196,18.651,3.786,10.269,15.723,-2.867,21.081,23.582,27.039,20.713,12.973,13.29,15.107,15.435,12.606,20.618,10.022,25.498,12,1.001,22.176,22.138,16.254,12.224,7.737,16.903
1980-01-07,16.213,27.489,22.511,8.277,14.413,12.982,10.887,17.265,23.79,11.262,23.994,25.578,20.29,5.769,11.307,13.794,0.511,21.113,23.464,27.418,21.171,13.239,12.437,15.217,14.445,11.864,19.623,11.186,25.429,13.341,1.447,22.15,21.939,15.54,12.151,8.763,15.532
1980-01-08,16.65,27.201,22.25,8.752,14.282,13.4,11.786,16.63,24.426,12.043,24.386,25.447,21.912,6.701,12.049,13.563,1.46,21.08,23.253,27.504,21.54,12.881,13.124,16.582,15.05,12.303,18.309,11.597,25.302,15.142,2.532,21.9,21.888,15.566,13.097,9.905,15.068
1980-01-09,16.835,26.946,22.002,8.608,14.447,13.735,11.666,17.217,24.145,11.838,24.206,25.807,21.551,5.918,12.155,13.599,0.035,21.182,23.769,27.646,21.807,13.211,13.001,17.74,14.913,12.267,18.379,12.058,25.003,15.689,3.363,21.444,21.88,16.249,13.258,9.122,15.328
1980-01-10,16.915,26.856,21.947,7.951,13.881,14.278,11.705,17.965,22.731,12.633,22.701,25.779,19.762,4.339,12.506,14.198,-1.435,21.013,23.945,27.438,21.892,13.249,12.192,18.01,14.382,11.543,18.964,11.867,24.625,14.963,2.395,21.963,21.486,16.482,13.766,9.289,15.928
1980-01-11,16.9,26.554,21.938,7.405,13.233,15,11.135,19.595,21.898,11.905,21.514,25.426,18.542,4.27,11.631,15.939,-1.923,20.78,23.737,27.147,21.767,12.461,11.103,17.843,13.294,10.233,19.778,11.074,24.414,13.834,1.737,22.5,20.948,15.599,14.073,8.972,16.246
1980-01-12,17.471,26.219,21.948,7.707,13.101,16.141,11.325,20.965,20.856,13.022,20.332,25.431,18.421,4.711,12.401,17.896,-0.757,20.533,24.07,27.283,21.675,11.852,11.357,18.327,13.635,10.666,20.542,11.489,24.946,13.993,2.134,22.735,21.831,14.581,14.894,8.961,17.477
1980-01-13,17.674,25.778,21.797,7.979,13.314,16.935,10.947,21.074,21.348,12.794,20.939,25.116,18.811,4.369,12.045,18.728,-1.365,20.547,23.934,27.553,22.02,12.587,11.803,17.998,14.515,10.952,21.379,10.508,24.834,14.39,2.197,22.293,21.438,15.106,14.976,8.856,18.629
1980-01-14,17.514,25.908,21.819,7.956,13.543,15.775,12.398,21.321,22.164,11.856,22.096,25.007,19.455,5.983,11.781,18.011,1.011,20.281,23.28,27.167,22.063,12.471,12.589,17.986,16.094,11.411,22.339,11.543,24.764,13.965,1.835,22.099,21.373,16.337,14.226,9.86,18.873
1980-01-15,18.089,26.946,21.969,8.069,13.734,16.068,13.806,21.776,22.819,13.733,22.757,24.949,19.95,6.422,13.775,18.09,0.491,20.369,23.575,27.17,22.038,12.379,11.541,19.342,15.231,11.161,22.339,13.332,25.16,15.415,2.313,21.917,21.847,16.684,15.473,10.441,18.648
1980-01-16,18.691,27.192,22.304,8.656,13.781,16.954,14.386,22.311,22.944,15.232,22.824,24.832,20.217,7.005,14.972,18.67,0.561,20.443,23.841,27.251,21.828,12.368,11.651,20.717,14.311,11.319,22.496,13.623,25.185,16.779,2.883,21.835,22.006,15.766,16.736,10.999,19.027
1980-01-17,18.947,27.037,22.512,8.816,14.112,17.438,14.306,22.512,22.69,14.582,22.444,25.017,20.465,7.494,14.267,19.478,1.762,20.768,23.602,27.304,21.934,12.971,12.195,20.973,15.241,11.789,22.833,13.124,25.042,16.269,2.976,22.437,21.659,16.103,17.294,11.279,19.852
1980-01-18,19.359,27.051,22.352,9.246,14.808,18.124,13.357,23.007,23.095,15.651,23.057,25.422,20.842,6.588,14.519,19.601,0.882,20.827,24.216,27.069,22.343,13.784,13.384,21.227,16.61,12.399,23.193,12.087,24.966,16.682,3.24,22.4,22.08,17.276,18.099,11.659,20.409
1980-01-19,19.589,27.102,22.591,9.609,15.188,18.571,13.665,22.521,23.912,15.937,24.06,25.284,21.563,6.677,14.874,19.779,0.628,20.954,24.716,27.123,22.474,13.959,13.633,21.26,16.511,12.869,22.96,12.532,25.312,17.108,3.383,22.619,22.474,17.676,18.372,11.604,20.3
1980-01-20,19.36,27.103,22.991,9.443,15.143,18.745,13.037,22.239,23.675,14.963,23.998,25.503,21.189,6.552,13.891,19.569,0.597,20.938,24.009,27.219,22.945,14.229,13.088,21.109,16.389,12.429,22.935,11.865,25.276,16.574,3.605,23.214,22.252,18.09,17.362,11.499,20.366
1980-01-21,19.207,26.854,23.243,9.72,15.155,18.63,13.229,22.66,21.984,14.088,21.934,25.36,19.57,7.19,13.367,19.307,1.81,21.243,23.856,27.158,22.251,14.16,12.895,21.045,15.513,12.511,22.792,12.054,25.089,15.725,3.984,23.786,22.02,17.717,17.763,11.545,20.007
1980-01-22,18.727,26.633,23.511,10.05,15.395,18.37,12.565,22.821,20.876,13.076,20.408,25.034,18.603,6.335,12.646,20.081,1.156,21.527,24.015,27.021,21.455,14.224,13.105,19.215,15.702,13.077,23.136,11.704,25.056,14.289,3.141,24.157,22.036,17.619,16.697,10.414,20.222
1980-01-23,18.142,26.684,23.72,8.879,15,17.593,12.056,20.763,21.22,13.061,20.613,24.978,18.889,6.273,12.776,19.216,1.934,21.926,24.144,26.859,20.635,13.977,12.455,16.652,15.658,11.921,23.129,12.103,25.1,14.845,2.049,24.173,22.272,18.233,14.672,10.022,20.659
1980-01-24,18.349,26.67,23.963,7.401,14.445,15.459,14.158,19.288,22.098,15.428,21.749,24.94,19.964,8.595,15.247,16.32,3.885,22.413,24.291,26.854,21.319,13.934,13.203,17.974,16.604,11.658,21.422,14.451,25.04,16.899,2.811,24.274,22.315,18.848,15.836,12.057,18.44
1980-01-25,18.862,26.76,23.445,8.621,14.366,16.567,15.34,19.297,22.878,17.354,22.787,24.994,20.375,8.556,16.836,17.157,1.694,22.322,24.357,26.871,22.177,13.454,13.965,18.927,16.565,12.28,20.58,15.92,25.282,17.488,3.419,23.643,22.371,17.245,17.251,12.371,17.818
1980-01-26,19.057,26.53,23.091,8.657,14.753,16.819,15.017,20.16,23.22,17.358,23.362,25.359,20.487,7.984,16.788,17.776,1.624,21.79,24.124,26.657,22.417,13.725,13.372,19.473,16.292,12.218,21.142,15.544,24.997,18.094,3.692,23.493,22.019,17.777,17.592,11.961,18.372
1980-01-27,19.206,26.018,23.088,8.451,14.701,17.876,14.512,21.16,22.286,16.476,22.138,25.405,20.827,6.436,16.309,19.123,0.788,21.644,24.467,26.53,21.564,13.503,12.146,19.152,15.637,11.31,22.055,14.791,24.383,17.662,2.93,24.091,21.795,17.533,17.776,10.734,19.87
1980-01-28,19.029,25.44,23.739,8.173,14.844,18.927,12.361,21.008,20.916,14.376,20.271,25.016,19.624,4.905,13.739,19.774,-0.605,21.952,24.833,26.697,20.221,13.384,13.178,18.566,16.608,11.827,22.797,12.548,24.637,15.733,2.148,24.021,22.641,18.569,17.739,9.576,21.084
1980-01-29,17.744,26.078,24.315,7.979,14.989,16.968,10.663,19.403,21.022,12.887,20.406,24.099,18.776,3.762,12.328,17.416,-1.626,21.901,25.315,26.701,19.257,13.341,13.156,16.246,17.201,12.087,22.062,11.351,25.333,14.195,1.233,23.157,23.572,19.197,14.803,8.197,19.906
1980-01-30,17.1,26.418,24.191,8.866,14.188,15.564,10.161,17.943,21.311,12.217,20.523,24.273,18.732,5.549,11.67,15.315,1.062,22.297,25.795,26.59,19.678,12.599,12.227,15.966,16.07,12.083,20.181,10.559,25.537,14.426,2.101,22.346,23.782,17.542,13.595,8.664,17.43
1980-01-31,18.026,26.449,23.872,9.096,14.265,15.914,12.929,18.346,22.278,14.658,21.947,24.627,19.735,7.514,14.783,15.455,3.511,22.549,25.557,26.317,21.073,12.614,11.905,17.872,14.298,12.053,20.164,14.307,25.335,16.679,3.162,23.284,23.094,16.591,15.125,10.408,17.205
1980-02-01,18.39,25.957,23.789,8.477,13.944,16.329,12.819,18.961,22.036,15.328,21.909,24.784,20.158,6.715,14.652,16.151,2.286,22.662,25.446,26.178,21.626,12.591,11.448,18.972,14.104,11.21,20.683,13.216,25.109,16.691,3.049,24.304,22.887,16.597,15.932,10.193,17.653
1980-02-02,18.641,25.607,23.758,8.594,14.005,17.103,13.899,20.238,20.874,15.632,20.532,24.596,19.852,5.554,15.17,18.378,-0.491,22.773,25.484,26.361,21.175,12.979,12.516,19.228,14.22,11.902,21.543,13.679,24.844,16.597,3.39,24.529,23.084,15.695,16.14,9.229,18.548
1980-02-03,19.559,25.643,23.89,8.423,14.745,19.576,14.199,22.691,20.545,15.717,20.007,24.55,19.251,5.732,15.159,19.691,-0.419,23.141,25.767,26.516,20.913,14.041,12.961,19.565,16.077,12.26,23.534,13.247,25.03,15.874,3.238,24.642,23.515,17.781,18.39,10.683,20.449
1980-02-04,19.662,26.03,24.062,8.743,15.778,20.399,12.875,23.05,20.098,16.048,19.889,24.565,17.281,4.527,14.889,20.929,-1.773,23.436,25.823,26.736,20.348,15.127,14.532,18.727,18.027,12.962,24.542,12.583,25.059,13.863,3.101,24.634,23.617,19.567,18.964,9.278,22.562
1980-02-05,18.551,26.499,24.47,8.753,16.144,20,10.148,23.061,20.282,11.133,19.492,24.67,16.367,3.439,10.486,20.479,-3.979,23.859,26.252,27.003,19.829,15.419,15.213,16.484,18.843,13.773,24.763,9.176,25.03,11.093,2.325,25.263,23.766,20.982,16.504,8.727,21.42
1980-02-06,17.182,27.083,25.007,8.533,15.492,16.069,9.292,20.673,20.585,10.295,20.211,25.108,16.515,3.87,9.817,17.318,-2.276,23.844,26.519,27.134,20.043,13.587,14.574,14.673,18.977,13.223,23.596,8.847,25.102,11.397,1.869,25.019,23.711,20.114,12.783,8.056,19.89
1980-02-07,17.091,27.253,24.851,8.026,13.883,14.115,10.603,18.747,22.784,12.05,23.172,26.105,18.374,5.276,11.712,15.105,-0.505,23.812,26.262,27.225,21.205,12.378,12.345,15.41,16.595,11.348,21.756,10.733,25.335,13.489,1.558,24.767,23.433,17.646,13.045,8.838,17.116
1980-02-08,18.44,27.12,24.765,7.779,13.306,15.752,12.637,18.871,24.74,14.934,25.32,26.758,20.806,6.565,14.653,16.583,0.509,23.919,25.896,27.25,22.665,11.959,11.26,17.619,14.911,10.437,21.339,13.549,25.481,17.029,1.747,25.012,23.461,16.661,15.031,10.656,17.947
1980-02-09,19.27,27.126,24.991,7.917,13.476,17.091,13.391,19.881,24.603,15.964,24.985,26.679,21.651,5.908,15.557,17.616,0.399,24.224,25.838,26.978,23.336,12.362,12.105,18.886,14.678,11.263,22.012,14.141,25.471,17.729,2.107,25.525,23.591,15.794,16.697,10.791,18.472
1980-02-10,19.494,27.12,25.342,7.587,13.914,17.603,12.535,20.522,24.384,15.207,24.776,26.804,21.651,6.036,14.681,18.477,1.164,24.365,25.89,27.022,23.276,13.116,12.24,19.307,15.46,11.201,22.671,13.591,25.443,17.06,0.981,26.648,23.526,17.239,16.902,10.298,19.452
1980-02-11,19.756,27.307,25.283,8.111,14.369,17.82,13.709,20.757,25.956,15.017,26.67,26.489,22.678,8.501,15.01,18.356,3.734,24.68,26.013,27.218,24.003,13.943,12.882,19.473,16.003,11.249,22.996,14.497,25.759,17.7,2.408,26.211,23.657,18.708,16.312,11.736,20.127
1980-02-12,20.481,27.734,25.082,8.809,14.762,18.171,15.382,20.922,27.477,16.681,28.62,27.745,24.156,10.013,16.508,18.401,4.584,24.547,25.924,27.325,25.518,14.08,13.744,20.249,16.609,12.393,23.064,15.432,25.828,19.255,4.683,26.551,23.646,17.945,17.832,13.221,19.619
1980-02-13,21.267,27.673,25.075,10.574,15.678,18.943,16.502,21.4,27.839,17.834,29.103,27.25,25.661,11.096,17.326,19.277,5.56,24.216,26.223,27.142,26.063,15.081,15.393,21.31,17.906,13.69,23.369,16.488,25.851,20.916,6.224,26.58,24.137,18.475,19.027,13.566,20.258
1980-02-14,21.962,27.761,25.137,11.662,17.146,19.764,17.5,22.916,25.876,19.397,26.716,26.968,24.42,11.209,19.001,20.251,5.156,24.316,26.682,26.843,25.883,15.892,15.682,23.206,17.819,15.045,24.111,18.572,25.783,21.516,6.086,27.09,24.486,19.318,20.126,13.711,21.353
1980-02-15,21.992,27.66,25.357,12.228,18.412,21.112,16.066,23.654,24.268,18.943,24.684,26.99,22.843,8.631,18.133,21.829,3.742,24.749,26.677,26.853,25.058,17.219,16.35,22.961,18.976,16.003,24.857,17.137,25.684,19.469,5.971,27.555,24.602,20.646,20.139,12.219,22.938
1980-02-16,22.262,27.581,25.729,11.142,18.879,22.776,17.077,24.907,24.391,19.406,24.48,26.696,22.594,9.188,18.589,23.411,3.15,25.004,27.264,26.888,23.768,18.189,16.821,21.297,20,15.957,25.104,17.313,25.857,18.843,5.236,26.823,24.733,21.854,21.19,13.763,23.662
1980-02-17,22.176,27.584,26.382,10.745,18.584,22.536,16.684,23.222,24.651,18.175,24.694,26.81,23.024,9.251,17.809,23.011,3.575,25.362,27.212,27.291,24.183,17.514,16.443,21.136,19.742,15.175,24.762,17.167,26.185,18.873,4.559,26.875,24.979,21.755,20.701,13.71,23.843
1980-02-18,22.079,27.646,26.412,10.258,17.82,21.747,15.79,22.957,25.271,18.094,25.542,26.712,23.701,8.764,17.94,21.811,3.527,25.394,27.067,27.2,24.61,16.67,15.562,21.467,19.554,14.345,24.273,17.532,26.15,20.112,3.88,27.359,25.015,21.593,20.154,12.525,23.474
1980-02-19,22.451,27.742,26.383,10.441,17.652,20.871,17.304,23.392,25.368,21.021,25.731,27.03,24.206,9.972,20.385,21.582,3.34,25.64,27.195,27.438,25.251,16.708,15.297,22.49,18.637,14.23,24.525,18.493,26.097,21.539,4.333,28.058,24.714,21.328,20.816,14.154,22.867
1980-02-20,23.144,27.747,26.543,11.546,17.62,21.68,18.49,23.614,26.438,20.384,27.099,27.667,26.078,10.461,20.003,21.608,4.159,25.762,27.136,27.549,25.934,16.613,15.798,23.982,19.141,14.694,24.8,17.974,26.262,22.903,4.644,28.351,24.709,21.223,22.525,15.367,22.491
1980-02-21,23.781,27.783,26.636,12.318,18.584,22.238,18.521,24.9,28.139,21.634,29.159,27.779,27.06,11.549,20.626,22.952,5.606,26.042,27.238,27.176,27.178,17.197,16.903,25.101,19.856,16.007,25.114,18.566,26.503,22.694,5.715,28.248,24.93,21.29,23.329,16.148,22.742
1980-02-22,24.086,27.875,26.788,13.218,19.01,22.821,17.548,25.981,28.026,21.555,29.191,27.925,27.249,11.78,20.226,23.646,6.332,25.92,27.055,27.137,27.387,17.281,16.872,25.451,19.102,16.626,25.929,18.995,26.449,23.22,6.858,28.357,24.918,20.972,23.539,16.065,23.418
1980-02-23,24.269,27.735,27.145,12.276,18.942,23.042,18.277,26.445,27.347,21.424,28.398,27.81,27.103,11.307,20.496,24.113,5.02,26.326,27.278,26.91,27.447,17.633,16.417,25.431,19.695,15.533,26.564,19.258,26.24,23.48,6.205,29.065,24.925,21.858,23.424,15.806,24.478
1980-02-24,24.136,27.777,27.802,11.075,18.854,23.288,17.837,26.305,26.913,21.417,27.735,27.258,26.671,10.001,20.508,24.184,4.338,26.505,27.638,27.099,26.913,17.919,17.205,24.231,20.519,15.763,26.829,19.064,26.561,22.625,5.734,28.818,25.612,23.176,23.091,14.781,24.944
1980-02-25,23.459,27.811,28.173,11.545,19.065,21.408,17.231,24.608,27.383,20.593,28.112,27.916,26.515,10.203,19.711,22.581,4.671,26.807,28.212,27.301,26.485,17.456,17.266,23.009,20.968,16.132,25.952,18.337,26.872,22.161,5.653,28.336,26.317,23.324,21.768,14.378,24.133
1980-02-26,23.911,27.758,28.014,12.343,18.82,21.781,19.242,24.107,28.775,22.005,29.765,28.025,27.589,12.84,21.325,22.414,6.471,26.881,28.117,27.2,26.912,18.307,17.526,24.145,20.762,16.602,24.803,19.948,27.028,24.506,6.915,27.614,26.408,22.708,22.425,17.083,23.266
1980-02-27,24.674,27.18,27.661,12.17,18.562,21.718,21.289,25.513,28.053,24.745,29.28,27.421,27.325,13.39,23.796,22.908,6.062,26.677,27.757,27.175,27.526,17.642,17.082,26.412,20.671,16.071,25.476,21.99,27.068,25.513,6.607,27.785,26.208,21.843,24.578,17.905,23.428
1980-02-28,24.831,26.675,27.975,12.009,19.073,23.276,19.813,26.777,26.019,24.046,26.347,27.249,26.13,11.37,22.831,25.186,3.592,27.028,27.949,27.219,26.645,18.062,17.082,26.384,20.668,16.128,26.625,19.699,26.988,24.255,6.05,28.588,26.401,22.487,25.006,16.858,24.459
1980-02-29,24.525,26.929,27.874,12.185,19.807,23.371,18.646,27.292,25.536,21.763,25.732,26.987,25.447,10.211,20.864,25.765,1.819,26.919,27.939,27.29,26.132,18.864,18.187,25.464,21.742,16.855,27.155,18.688,26.633,22.562,6.152,28.805,26.443,23.687,24.316,16.195,25.723
1980-03-01,23.531,27.482,27.995,10.203,17.253,22.97,17.339,25.518,26.4,21.221,26.859,27.567,25.987,9.59,20.09,21.565,3.11,27.235,28.477,27.473,26.125,16.309,16.78,24.166,20.643,14.796,25.182,18.694,26.755,21.869,4.982,28.321,26.942,21.711,22.878,14.838,21.113
1980-03-02,23.127,27.711,27.999,10.568,17.173,22.402,17.064,23.751,26.992,19.004,27.8,27.964,26.615,9.584,18.704,21.885,3.299,27.397,28.37,27.401,26.339,15.936,13.751,22.946,16.528,13.836,24.384,17.677,27.132,21.388,3.464,27.551,27.547,19.49,21.596,14.644,21.861
1980-03-03,23.939,27.374,28.113,10.568,17.928,22.464,16.704,25.426,26.946,21.068,27.732,27.911,26.983,10.463,19.948,22.065,4.052,27.678,28.924,27.469,27.358,16.282,15.7,25.226,18.838,15.2,24.396,17.828,27.258,23.273,4.722,28.981,27.78,21.907,22.821,15.124,21.866
1980-03-04,24.215,27.41,28.371,10.666,17.876,22.65,18.326,26.705,26.786,20.546,27.737,28.831,26.441,11.655,19.725,22.982,5.345,27.564,28.914,27.474,27.739,16.771,16.389,25.447,19.844,14.851,26.015,17.855,27.242,23.336,4.736,29.464,26.932,22.563,22.99,15.815,23.359
1980-03-05,24.831,27.586,29.07,11.05,18.309,23.6,15.901,27.222,25.948,22.894,26.411,27.565,26.094,9.215,20.69,23.649,4.882,27.851,28.317,27.226,27.954,17.558,16.513,26.714,20.531,15.24,26.147,16.762,27.458,23.775,6.13,30.357,27.36,23.051,24.458,14.763,24.081
1980-03-06,24.341,27.373,29.095,11.891,19.818,25.112,15.752,28.206,24.845,19.265,24.985,27.043,23.963,8.296,17.925,25.814,2.012,27.841,28.263,27.309,26.615,19.179,17.857,25.149,21.602,16.545,27.147,16.09,27.637,19.305,7.313,29.892,27.796,24.143,23.533,13.909,25.453
1980-03-07,23.312,27.411,29.263,12.719,20.401,24.089,15.182,27.86,24.992,16.161,25.287,27.145,22.945,8.048,15.859,24.859,0.682,27.608,27.488,27.355,26.603,19.078,18.14,22.574,22.449,17.007,27.902,15.483,27.798,17.506,6.88,29.988,27.731,25.507,20.306,13.522,26.167
1980-03-08,22.587,27.37,29.492,13.107,19.659,21.912,16.207,25.793,22.954,17.57,22.47,26.384,21.653,7.844,17.362,23.293,0.752,26.73,27.083,27.529,24.354,18.577,17.887,21.894,22.714,17.006,26.918,16.908,28.277,18.188,7.687,28.608,28.292,25.253,20.139,12.994,24.667
1980-03-09,22.561,27.44,29.359,12.786,20.297,23.819,15.549,25.066,22.565,18.615,22.334,25.937,21.916,7.87,17.937,23.617,1.162,26.475,27.539,27.581,22.385,19.439,17.513,19.941,21.923,16.749,26.528,16.452,28.351,19.012,6.355,27.655,28.83,24.868,20.364,12.503,24.556
1980-03-10,22.872,27.392,28.489,12.969,21.102,23.618,16.563,24.435,23.677,18.809,23.373,25.402,23.232,8.658,18.352,22.676,1.452,26.234,27.485,27.641,23.223,19.927,18.754,21.079,22.773,17.196,26.151,17.547,28.065,19.67,6.119,27.502,28.416,25.174,20.827,13.258,25.242
1980-03-11,23.609,27.385,28.25,13.36,21.309,23.773,17.113,26.628,24.74,19.896,24.448,25.622,24.585,8.633,19.215,23.867,1.906,25.999,26.782,27.511,24.69,20.522,18.86,22.838,22.901,18.212,26.434,18.381,27.858,20.55,6.37,28.727,28.042,25.407,21.82,13.739,26.052
1980-03-12,23.692,27.82,28.239,13.164,20.303,24.11,16.747,26.7,27.078,19.331,27.247,26.559,25.69,8.757,18.633,22.919,2.735,26.564,27.1,27.512,26.402,18.912,18.881,23.261,22.686,17.823,26.84,17.497,27.496,20.49,6.51,29.185,27.029,24.284,22.227,13.587,23.789
1980-03-13,23.727,28.374,28.354,12.439,19.898,22.654,17.757,25.544,28.332,19.412,29.05,27.738,26.686,11.012,18.974,22.291,4.527,27.431,27.838,27.969,27.757,19.07,18.331,23.293,22.209,16.862,26.563,18.237,27.619,20.998,6.534,29.22,26.707,24.053,21.376,15.051,24.499
1980-03-14,24.322,28.518,28.049,13.064,19.482,23.454,17.788,25.681,29.625,21.158,30.899,29.171,28.312,11.622,20.346,22.801,5.869,27.557,28.006,28.34,28.931,18.634,18.318,24.535,21.826,17.073,26.02,18.982,28.079,22.277,6.972,29.188,26.827,23.34,22.16,15.647,23.995
1980-03-15,25.501,28.65,28.257,13.77,20.32,24.764,20.822,26.392,29.147,22.956,30.207,28.734,29.459,13.171,22.421,23.811,6.416,27.464,28.168,28.063,29.445,19.176,18.5,26.13,21.873,17.87,26.355,21.599,28.101,24.234,7.486,29.261,27.489,23.945,24.526,17.775,24.735
1980-03-16,26.348,28.345,28.784,13.597,21.118,26.319,20.827,27.967,28.312,24.018,29.125,28.306,28.458,13.098,23.196,25.614,5.522,27.595,28.385,27.881,29.462,20.336,18.718,27.769,22.319,17.81,27.363,21.689,27.71,25.675,7.557,29.858,27.47,24.524,26.287,17.806,25.58
1980-03-17,26.429,28.435,28.608,13.318,21.804,26.682,20.551,28.506,27.039,24.096,27.553,28.285,26.926,13.139,23.306,26.8,6.375,27.662,28.277,27.789,28.561,20.826,19.764,27.89,22.826,18.652,28.129,22.263,27.513,25.727,7.807,29.54,27.195,25.394,26.442,17.286,26.755
1980-03-18,26.405,28.243,28.411,13.776,21.532,27.86,20.681,29.233,25.992,23.643,26.412,28.5,26.171,12.772,23.355,28.012,6.385,27.439,28.414,27.845,28.084,21.003,19.728,27.42,23.834,18.578,28.391,22.016,27.557,25.251,8.59,29.548,26.889,25.992,26.115,17.078,27.501
1980-03-19,26.78,28.117,29.097,13.774,21.659,28.015,20.791,29.602,26.891,23.94,27.372,28.149,27.708,13.195,23.202,27.865,6.829,27.382,28.14,28.028,28.636,21.008,19.9,27.454,24.084,18.736,28.31,21.714,27.766,25.658,8.402,29.935,27.282,26.452,26.848,18.062,27.716
1980-03-20,27.31,28.316,29.621,14.381,21.904,28.42,21.973,29.492,28.348,24.569,29.163,27.783,29.137,14.881,24.09,27.352,7.959,27.672,28.493,27.898,29.725,21.577,20.41,28.372,24.555,18.973,28.773,23.012,27.976,26.433,9.939,30.593,27.464,27.287,26.826,19.259,28.394
1980-03-21,27.618,28.136,29.936,15.64,21.911,27.399,22.888,29.298,29.149,26.201,30.085,28.498,29.735,14.682,25.568,27.225,7.96,28.424,28.587,28.058,30.174,21.056,21.082,29.182,25.321,19.482,28.758,24.178,28.31,27.162,10.597,31.354,27.688,26.984,27.627,19.993,27.502
1980-03-22,28.2,28.223,30.319,16.058,22.896,28.85,22.499,30.511,29.196,25.356,30.156,27.923,29.936,15.04,24.707,28.283,8.825,28.716,28.573,27.689,30.698,22.19,21.409,29.964,25.141,20.242,29.212,23.421,28.294,26.93,10.065,31.81,28.078,27.266,28.621,20.23,28.295
1980-03-23,28.459,28.389,30.75,15.373,23.222,30.052,22.754,31.611,28.155,25.759,28.735,28.182,28.883,15.971,25.046,29.797,9.287,28.905,28.534,27.542,30.346,22.154,21.674,29.575,25.481,20.293,30.187,23.902,28.373,27.047,9.89,32.065,28.333,27.975,28.559,20.515,29.245
1980-03-24,28.486,28.627,30.521,15.728,23.481,30.542,23.213,31.884,27.542,26.381,28.094,28.499,28.248,15.529,25.659,30.178,7.771,29.211,28.967,27.748,29.591,22.961,22.335,29.185,26.385,20.865,30.121,25.078,28.302,26.622,10.38,31.962,28.714,28.779,28.547,20.707,29.747
1980-03-25,28.879,28.812,29.982,16.9,24.617,31.216,22.837,32.13,28.086,26.929,28.328,28.788,28.975,14.596,25.807,30.913,7.676,29.363,28.714,27.981,29.85,24.093,23.28,29.46,26.835,21.812,30.124,24.225,28.196,27.04,11.122,32.058,28.413,29.505,29.485,20.26,30.545
1980-03-26,28.938,28.939,29.627,17.232,25.393,31.837,22.376,31.887,29.056,26.305,29.667,29.125,29.654,14.06,25.234,31.647,7.454,29.495,28.714,28.155,30.421,24.15,23.409,29.499,26.404,22.306,30.196,23.424,28.084,26.421,11.549,31.81,28.111,28.937,29.281,19.537,30.941
1980-03-27,28.02,28.997,29.556,16.975,24.859,30.691,21.093,31.367,30.461,23.949,31.334,29.137,29.545,13.907,23.474,29.785,7.377,28.29,28.374,28.001,31.268,23.663,22.346,28.41,26.605,21.225,30.188,22.86,28.339,25.31,11.151,31.237,27.545,28.565,26.939,18.412,30.084
